"Date","Open","High","Low","Close"
"25 Apr 2014","6855.8","6869.85","6772.85","6782.70"
"23 Apr 2014","6823.25","6861.6","6820.75","6840.80"
"22 Apr 2014","6822.9","6838","6806.25","6815.30"
"21 Apr 2014","6789.25","6825.45","6786.9","6817.60"
"17 Apr 2014","6695.45","6783.05","6684.4","6779.40"
"16 Apr 2014","6727.25","6748.65","6665.15","6675.30"
"15 Apr 2014","6792.7","6813.4","6711.75","6733.10"
"11 Apr 2014","6758.35","6789.35","6743.15","6776.30"
"10 Apr 2014","6803.05","6819.05","6777.3","6796.40"
"09 Apr 2014","6722","6808.7","6705.1","6796.20"
"07 Apr 2014","6694.25","6725.15","6650.4","6695.00"
"04 Apr 2014","6741.85","6741.85","6685.15","6694.30"
"03 Apr 2014","6772.05","6776.75","6696.9","6736.10"
"02 Apr 2014","6757.6","6763.5","6723.6","6752.50"
"01 Apr 2014","6729.5","6732.25","6675.45","6721.00"
"31 Mar 2014","6723.15","6730.05","6662.4","6704.20"
"28 Mar 2014","6673.05","6702.6","6643.8","6695.90"
"27 Mar 2014","6613.1","6673.95","6599.5","6641.70"
"26 Mar 2014","6615.65","6627.45","6580.6","6601.40"
"25 Mar 2014","6550.1","6595.55","6544.85","6589.70"
"24 Mar 2014","6510.5","6591.5","6510.5","6583.50"
"22 Mar 2014","6497.8","6502.65","6481.35","6494.90"
"21 Mar 2014","6515.2","6522.9","6485.7","6493.20"
"20 Mar 2014","6508.35","6523.65","6473.25","6483.10"
"19 Mar 2014","6530","6541.2","6506","6524.00"
"18 Mar 2014","6532.45","6574.95","6497.65","6516.60"
"14 Mar 2014","6447.25","6518.45","6432.7","6504.20"
"13 Mar 2014","6491.75","6561.45","6476.65","6493.10"
"12 Mar 2014","6497.5","6546.15","6487.3","6516.90"
"11 Mar 2014","6537.35","6562.85","6494.25","6511.90"
"10 Mar 2014","6491.7","6562.2","6487.35","6537.20"
"07 Mar 2014","6413.95","6537.8","6413.55","6526.60"
"06 Mar 2014","6344.75","6406.6","6339.7","6401.10"
"05 Mar 2014","6328.45","6336.25","6287.8","6328.60"
"04 Mar 2014","6216.75","6302.15","6215.7","6297.90"
"03 Mar 2014","6264.35","6277.75","6212.25","6221.40"
"28 Feb 2014","6228.45","6282.7","6228.1","6276.90"
"26 Feb 2014","6202.45","6245.95","6202.1","6238.80"
"25 Feb 2014","6205.7","6216.85","6176.6","6200.00"
"24 Feb 2014","6140.95","6191.85","6130.8","6186.10"
"21 Feb 2014","6108.3","6159.65","6108","6155.40"
"20 Feb 2014","6127.15","6129.1","6086.45","6091.40"
"19 Feb 2014","6132.05","6160.35","6125.75","6152.70"
"18 Feb 2014","6071.3","6141.7","6066.8","6127.10"
"17 Feb 2014","6057.1","6080.65","6038.3","6073.30"
"14 Feb 2014","6023.75","6056.4","5984.6","6048.30"
"13 Feb 2014","6087.55","6094.4","5991.1","6001.10"
"12 Feb 2014","6085.35","6106.6","6077.4","6084.00"
"11 Feb 2014","6072.45","6081.85","6053.25","6062.70"
"10 Feb 2014","6072.8","6083.05","6046.4","6053.40"
"07 Feb 2014","6077.65","6079.95","6030.9","6063.20"
"06 Feb 2014","6028.35","6048.35","5965.4","6036.30"
"05 Feb 2014","6004.25","6028.05","5962.05","6022.40"
"04 Feb 2014","5947.6","6017.8","5933.3","6000.90"
"03 Feb 2014","6058.8","6074.85","5994.45","6001.80"
"31 Jan 2014","6082.75","6097.85","6067.35","6089.50"
"30 Jan 2014","6067","6082.85","6027.25","6073.70"
"29 Jan 2014","6161","6170.45","6109.8","6120.20"
"28 Jan 2014","6131.85","6163.6","6085.95","6126.20"
"27 Jan 2014","6186.3","6188.55","6130.25","6135.80"
"24 Jan 2014","6301.65","6331.45","6263.9","6266.70"
"23 Jan 2014","6325.95","6355.6","6316.4","6345.60"
"22 Jan 2014","6309.05","6349.95","6287.45","6338.90"
"21 Jan 2014","6320.15","6330.3","6297.9","6313.80"
"20 Jan 2014","6261.75","6307.45","6243.35","6303.90"
"17 Jan 2014","6306.25","6327.1","6246.35","6261.60"
"16 Jan 2014","6341.35","6346.5","6299.85","6318.90"
"15 Jan 2014","6265.95","6325.2","6265.3","6320.90"
"14 Jan 2014","6260.25","6280.35","6234.15","6241.80"
"13 Jan 2014","6189.55","6288.2","6189.55","6272.70"
"10 Jan 2014","6178.85","6239.1","6139.6","6171.40"
"09 Jan 2014","6181.7","6188.05","6148.25","6168.30"
"08 Jan 2014","6178.05","6192.1","6160.35","6174.60"
"07 Jan 2014","6203.9","6221.5","6144.75","6162.20"
"06 Jan 2014","6220.85","6224.7","6170.25","6191.40"
"03 Jan 2014","6194.55","6221.7","6171.25","6211.10"
"02 Jan 2014","6301.25","6358.3","6211.3","6221.10"
"01 Jan 2014","6323.8","6327.2","6298.25","6301.60"
"31 Dec 2013","6307.35","6317.3","6287.3","6304.00"
